Year,Name,Rank,Country,Region,DOB,Gender,Self Made,Generation,Industry,Industry Aggregator,Company,Company Info,Company Acquired,Net Worth US Billion,Count
2003,Helen Walton,7.0,United States,North America,1920,female,inherited,spouse or widow,Consumer,Traded Sectors,Walmart,inherited, new,16.5,1
2006,Bernard Arnault,7.0,France,Europe,1949,male,self-made,Unknown,Consumer,Traded Sectors,LVMH,founder non-finance,acquired,21.5,1
2003,Jim Walton,7.0,United States,North America,1948,male,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,16.5,1
2000,S Robson Walton,7.0,United States,North America,1944,male,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,20.0,1
2003,Alice Walton,7.0,United States,North America,1949,female,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,16.5,1
2008,Ingvar Kamprad,7.0,Sweden,Europe,1927,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,IKEA,founder non-finance,new,31.0,1
2009,Mukesh Ambani,7.0,India,South Asia,1958,male,inherited,Unknown,Energy,Resource Related,Reliance,inherited,new,19.5,1
2012,Eike Batista,7.0,Brazil,Latin America,1957,male,Unknown,Unknown,Mining and metals,Resource Related,Unknown,Unknown,Unknown,30.0,1
2009,Lakshmi Mittal,8.0,United Kingdom,Europe,1951,male,inherited,inherited from father,Energy,Resource Related,ArcelorMittal,inherited,new,19.3,1
2011,Eike Batista,8.0,Brazil,Latin America,1957,male,Unknown,Unknown,Mining and metals,Resource Related,Unknown,Unknown,Unknown,30.0,1
2014,Sheldon Adelson,8.0,United States,North America,1934,male,self-made,Unknown,Real Estate,Financial,Las Vegas Sands,self-made finance, acquired,38.0,1
2006,Prince Alwaleed Bin Talal Alsaud,8.0,Saudi Arabia,Middle East/North Africa,1957,male,self-made,Unknown,Money Management,Financial,Kingdom Holding Company,privatized and resources,new,20.0,1
2010,Eike Batista,8.0,Brazil,Latin America,1957,male,Unknown,Unknown,Mining and metals,Resource Related,Unknown,Unknown,Unknown,27.0,1
2002,S Robson Walton,8.0,United States,North America,1944,male,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,20.5,1
2001,John Walton,8.0,United States,North America,1946,male,inherited,inherited from father,Consumer,Traded Sectors,Walmart,inherited, new,18.7,1
2002,Alice Walton,8.0,United States,North America,1949,female,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,20.5,1
2008,KP Singh,8.0,India,South Asia,1932,male,Unknown,Unknown,Real Estate,Financial,Unknown,Unknown,Unknown,30.0,1
2005,Karl Albrecht,8.0,Germany,Europe,1920,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,Aldi Sud,executive,new,18.5,1
2000,Masayoshi Son,8.0,Japan,East Asia,1958,male,self-made,Unknown,Media,Non-Traded Sectors,Softbank,founder non-finance,new,19.4,1
2012,Stefan Persson,8.0,Sweden,Europe,1948,male,inherited,inherited from father,Consumer,Traded Sectors, H&M,inherited, new,26.0,1
2007,Amancio Ortega,8.0,Spain,Europe,1936,male,self-made,Unknown,Consumer,Traded Sectors,Zara,founder non-finance,new,24.0,1
2013,Li Ka-shing,8.0,Hong Kong,East Asia,1929,male,self-made,Unknown,Real Estate,Financial,Cheung king,self-made finance,new,31.0,1
2013,Liliane Bettencourt,9.0,France,Europe,1923,female,inherited,inherited from father,Consumer,Traded Sectors,L'Oreal,inherited,new,30.0,1
2006,Kenneth Thomson,9.0,Canada,North America,1924,male,inherited,inherited from father,Media,Non-Traded Sectors,Thomson Corporation (now Thomson Reuters),inherited,acquired,19.6,1
2005,Larry Ellison,9.0,United States,North America,1945,male,self-made,Unknown,Technology-Computer,New Sectors,Oracle,founder non-finance, new,18.4,1
2012,Li Ka-shing,9.0,Hong Kong,East Asia,1929,male,self-made,Unknown,Real Estate,Financial,Cheung king,self-made finance,new,25.5,1
2007,Li Ka-shing,9.0,Hong Kong,East Asia,1929,male,self-made,Unknown,Real Estate,Financial,Cheung king,self-made finance,new,23.0,1
2009,Theo Albrecht,9.0,Germany,Europe,1923,male,Unknown,Unknown,"Retail, Restaurant",Non-Traded Sectors,Unknown,Unknown,Unknown,18.8,1
2001,S Robson Walton,9.0,United States,North America,1944,male,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,18.6,1
2014,Christy Walton,9.0,United States,North America,1955,female,inherited,spouse or widow,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,36.7,1
2010,Amancio Ortega,9.0,Spain,Europe,1936,male,self-made,Unknown,Consumer,Traded Sectors,Zara,founder non-finance,new,25.0,1
2000,Michael Dell,9.0,United States,North America,1965,male,self-made,Unknown,Technology-Computer,New Sectors,Dell,founder non-finance,new,19.1,1
2011,Mukesh Ambani,9.0,India,South Asia,1958,male,inherited,Unknown,Energy,Resource Related,Reliance,inherited,new,27.0,1
2008,Oleg Deripaska,9.0,Russia,Europe,1969,male,self-made,Unknown,Mining and metals,Resource Related,SibAl,privatized and resources,new,28.0,1
2013,Bernard Arnault,10.0,France,Europe,1949,male,self-made,Unknown,Consumer,Traded Sectors,LVMH,founder non-finance,acquired,29.0,1
2009,Amancio Ortega,10.0,Spain,Europe,1936,male,self-made,Unknown,Consumer,Traded Sectors,Zara,founder non-finance,new,18.3,1
2010,Karl Albrecht,10.0,Germany,Europe,1920,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,Aldi Sud,executive,new,23.5,1
2002,Helen Walton,10.0,United States,North America,1920,female,inherited,spouse or widow,Consumer,Traded Sectors,Walmart,inherited, new,20.4,1
2011,Christy Walton,10.0,United States,North America,1955,female,inherited,spouse or widow,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,26.5,1
2001,Alice Walton,10.0,United States,North America,1949,female,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,18.5,1
2014,Jim Walton,10.0,United States,North America,1948,male,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,34.7,1
2006,Li Ka-shing,10.0,Hong Kong,East Asia,1929,male,self-made,Unknown,Real Estate,Financial,Cheung king,self-made finance,new,18.8,1
2007,David Thomson,10.0,Canada,North America,1958,male,inherited,inherited from father,Media,Non-Traded Sectors,Thomson Corporation (now Thomson Reuters),inherited,acquired,22.0,1
2000,Kenneth Thomson,10.0,Canada,North America,1924,male,inherited,inherited from father,Media,Non-Traded Sectors,Thomson Corporation (now Thomson Reuters),inherited,acquired,16.1,1
2012,Karl Albrecht,10.0,Germany,Europe,1920,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,Aldi Sud,executive,new,25.4,1
2008,Karl Albrecht,10.0,Germany,Europe,1920,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,Aldi Sud,executive,new,27.0,1
2005,S Robson Walton,10.0,United States,North America,1944,male,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,18.3,1
2001,Helen Walton,10.0,United States,North America,1920,female,inherited,spouse or widow,Consumer,Traded Sectors,Walmart,inherited, new,18.5,1
2014,Liliane Bettencourt,11.0,France,Europe,1923,female,inherited,inherited from father,Consumer,Traded Sectors,L'Oreal,inherited,new,34.5,1
2000,Philip Anschutz,11.0,United States,North America,1940,male,self-made,Unknown,Money Management,Financial,Circle A Drilling,self-made finance,aquired,15.5,1
2002,Prince Alwaleed Bin Talal Alsaud,11.0,Saudi Arabia,Middle East/North Africa,1957,male,self-made,Unknown,Money Management,Financial,Kingdom Holding Company,privatized and resources,new,20.0,1
2011,Li Ka-shing,11.0,Hong Kong,East Asia,1929,male,self-made,Unknown,Real Estate,Financial,Cheung king,self-made finance,new,26.0,1
2010,Ingvar Kamprad,11.0,Sweden,Europe,1927,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,IKEA,founder non-finance,new,23.0,1
2007,Larry Ellison,11.0,United States,North America,1945,male,self-made,Unknown,Technology-Computer,New Sectors,Oracle,founder non-finance, new,21.5,1
2006,Roman Abramovich,11.0,Russia,Europe,1967,male,self-made,Unknown,Energy,Resource Related,Millhouse LLC,privatized and resources,new,18.2,1
2013,Christy Walton,11.0,United States,North America,1955,female,inherited,spouse or widow,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,28.2,1
2004,Liliane Bettencourt,11.0,France,Europe,1923,female,inherited,inherited from father,Consumer,Traded Sectors,L'Oreal,inherited,new,18.8,1
2012,Christy Walton,11.0,United States,North America,1955,female,inherited,spouse or widow,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,25.3,1
2009,Jim Walton,11.0,United States,North America,1948,male,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,17.8,1
2008,Li Ka-shing,11.0,Hong Kong,East Asia,1929,male,self-made,Unknown,Real Estate,Financial,Cheung king,self-made finance,new,26.5,1
2005,Jim Walton,11.0,United States,North America,1948,male,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,18.2,1
2005,John Walton,11.0,United States,North America,1946,male,inherited,inherited from father,Consumer,Traded Sectors,Walmart,inherited, new,18.2,1
2000,Steven Ballmer,12.0,United States,North America,1957,male,self-made,Unknown,Technology-Computer,New Sectors,Microsoft,executive,new,15.5,1
2012,David Koch,12.0,United States,North America,1941,male,inherited,inherited from father,Energy,Resource Related,Koch industries,inherited,new,25.0,1
2012,Charles Koch,12.0,United States,North America,1936,male,inherited,inherited from father,Energy,Resource Related,Koch industries,inherited,new,25.0,1
2002,Johanna Quandt,12.0,Germany,Europe,1928,female,inherited,spouse or widow,Consumer,Traded Sectors,BMW,inherited,new,18.4,1
2009,S Robson Walton,12.0,United States,North America,1944,male,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,17.6,1
2011,Karl Albrecht,12.0,Germany,Europe,1920,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,Aldi Sud,executive,new,25.5,1
2007,Liliane Bettencourt,12.0,France,Europe,1923,female,inherited,inherited from father,Consumer,Traded Sectors,L'Oreal,inherited,new,20.7,1
2013,Stefan Persson,12.0,Sweden,Europe,1948,male,inherited,inherited from father,Consumer,Traded Sectors, H&M,inherited, new,28.0,1
2003,Liliane Bettencourt,12.0,France,Europe,1923,female,inherited,inherited from father,Consumer,Traded Sectors,L'Oreal,inherited,new,14.5,1
2006,Michael Dell,12.0,United States,North America,1965,male,self-made,Unknown,Technology-Computer,New Sectors,Dell,founder non-finance,new,17.1,1
2004,Larry Ellison,12.0,United States,North America,1945,male,self-made,Unknown,Technology-Computer,New Sectors,Oracle,founder non-finance, new,18.7,1
2009,Christy Walton,12.0,United States,North America,1955,female,inherited,spouse or widow,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,17.6,1
2009,Alice Walton,12.0,United States,North America,1949,female,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,17.6,1
2001,Johanna Quandt,12.0,Germany,Europe,1928,female,inherited,spouse or widow,Consumer,Traded Sectors,BMW,inherited,new,17.8,1
2008,Sheldon Adelson,12.0,United States,North America,1934,male,self-made,Unknown,Real Estate,Financial,Las Vegas Sands,self-made finance, acquired,26.0,1
2014,Stefan Persson,12.0,Sweden,Europe,1948,male,inherited,inherited from father,Consumer,Traded Sectors, H&M,inherited, new,34.4,1
2010,Christy Walton,12.0,United States,North America,1955,female,inherited,spouse or widow,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited, new,22.5,1
2002,Kenneth Thomson,13.0,Canada,North America,1924,male,inherited,inherited from father,Media,Non-Traded Sectors,Thomson Corporation (now Thomson Reuters),inherited,acquired,14.9,1
2005,Helen Walton,13.0,United States,North America,1920,female,inherited,spouse or widow,Consumer,Traded Sectors,Walmart,inherited, new,18.0,1
2001,Steven Ballmer,13.0,United States,North America,1957,male,self-made,Unknown,Technology-Computer,New Sectors,Microsoft,executive,new,16.6,1
2002,Liliane Bettencourt,13.0,France,Europe,1923,female,inherited,inherited from father,Consumer,Traded Sectors,L'Oreal,inherited,new,14.9,1
2006,Karl Albrecht,13.0,Germany,Europe,1920,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,Aldi Sud,executive,new,17.0,1
2011,Stefan Persson,13.0,Sweden,Europe,1948,male,inherited,inherited from father,Consumer,Traded Sectors, H&M,inherited, new,24.5,1
